venue_team,League,Division,Lat,Long,Abbrev
Tampa Bay Lightning,NHL,Atlantic,27.9427,-82.4518,TBL
Dallas Stars,NHL,Central,32.790556,-96.810278,DAL
Colorado Avalanche,NHL,Central,39.7487,-105.0076,COL
Montreal Canadiens,NHL,Atlantic,45.496111,-73.569444,MTL
Nashville Predators,NHL,Central,36.159167,-86.778611,NSH
Winnipeg Jets,NHL,Central,49.892778,-97.143611,WPG
Ottawa Senators,NHL,Atlantic,45.2969,-75.9268,OTT
Washington Capitals,NHL,Metropolitan,38.8982,-77.0209,WSH
Seattle Kraken,NHL,Pacific,47.622,-122.354,SEA
Los Angeles Kings,NHL,Pacific,34.043056,-118.267222,LAK
St. Louis Blues,NHL,Central,38.626667,-90.2025,STL
Flordia Panthers,NHL,Atlantic,26.158333,-80.325556,FLA
Arizona Coyotes,NHL,Central,33.5321,-112.2612,ARI
Anaheim Ducks,NHL,Pacific,33.807778,-117.876667,ANA
Buffalo Sabres,NHL,Atlantic,42.875,-78.876389,BUF
Detroit Red Wings,NHL,Atlantic,42.341111,-83.055,DET
New York Rangers,NHL,Metropolitan,40.750556,-73.993611,NYR
Columbus Blue Jackets,NHL,Metropolitan,39.969283,-83.006111,CBJ
Carolina Hurricanes,NHL,Metropolitan,35.803333,-78.721944,CAR
Pittsburgh Penguins,NHL,Metropolitan,40.439444,-79.989167,PIT
New Jersey Devils,NHL,Metropolitan,40.733611,-74.171111,NJD
Vancouver Canucks,NHL,Pacific,49.277778,-123.108889,VAN
Edmonton Oilers,NHL,Pacific,53.546944,-113.497778,EDM
San Jose Sharks,NHL,Pacific,37.332778,-121.901111,SJS
Toronto Maple Leafs,NHL,Atlantic,43.643333,-79.379167,TOR
Calgary Flames,NHL,Pacific,51.0374,-114.0519,CGY
Boston Bruins,NHL,Atlantic,42.366303,-71.062228,BOS
Vegas Golden Knights,NHL,Pacific,36.102778,-115.178333,VGK
New York Islanders,NHL,Metropolitan,40.712094,-73.727157,NYI
Chicago Blackhawks,NHL,Central,41.880556,-87.674167,CHI
Philadeliphia Flyers,NHL,Metropolitan,39.901111,-75.171944,PHI
Minnesota Wild,NHL,Central,44.944722,-93.101111,MIN
Utah Mammoth,NHL,Central,40.7684,-111.9016,UTA
